Day,DoWeek,hour,count,passed,period,data,ServiceID_0,ServiceID_1,ServiceID_3,ServiceID_4,ServiceID_5,ServiceID_6,ServiceID_7,ServiceID_8,ServiceID_9,ServiceID_10,ServiceID_11
2022-02-16,2,9,4986,4985,63.0,604.9803449659046,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,12,4447,4443,63.0,600.2322914324263,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,13,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-16,2,13,1164,1163,63.0,606.4664948453608,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,14,5773,5772,63.0,606.7214619781743,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,15,4650,4647,63.0,606.8421505376344,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,16,3993,3978,63.0,606.2659654395192,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,16,1782,1779,63.0,605.7149270482604,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,17,4789,4785,63.0,600.7638337857591,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,18,1952,1951,63.0,600.2899590163935,0,0,0,0,0,0,1,0,0,0,0
2022-02-16,2,19,4194,4191,63.0,600.4234620886981,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,11,5398,5392,63.0,603.2143386439423,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,13,4758,4757,63.0,604.0569567044977,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,14,2315,2314,63.0,605.3248380129589,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,15,5322,5316,63.0,605.6555806087937,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,18,3982,3981,63.0,600.607232546459,0,0,0,0,0,0,1,0,0,0,0
2022-02-17,3,20,3731,3729,63.0,600.0211739480033,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,0,995,994,63.0,600.1366834170855,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,8,3777,3773,63.0,605.4535345512311,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,10,2882,2881,63.0,606.793546148508,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,10,2952,2951,63.0,607.4380081300814,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,11,5300,5297,63.0,604.5347169811321,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,12,4201,4200,63.0,600.3306355629612,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,13,4273,4272,63.0,604.7509946173649,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,15,2335,2330,63.0,606.9464668094218,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,15,3916,3907,63.0,608.9938712972421,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,16,4885,4882,63.0,606.1619242579325,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,19,4109,4108,63.0,599.9569238257484,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,20,3014,3011,63.0,600.2106834771068,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,20,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-18,4,21,3120,3119,63.0,599.8448717948718,0,0,0,0,0,0,1,0,0,0,0
2022-02-18,4,21,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-18,4,22,1969,1967,63.0,600.185373285932,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,7,1873,1871,63.0,600.3561131873998,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,8,1100,1099,63.0,599.8718181818182,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,9,4358,4356,63.0,600.696190913263,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,12,713,712,63.0,600.0869565217391,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,14,3184,3183,63.0,600.4064070351759,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,17,3996,3990,63.0,600.2985485485485,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,18,883,880,63.0,599.7825594563986,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,18,2804,2803,63.0,599.996790299572,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,19,3492,3490,63.0,600.0859106529209,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,20,1814,1812,63.0,600.1681367144432,0,0,0,0,0,0,1,0,0,0,0
2022-02-19,5,21,2725,2719,63.0,599.8704587155963,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,12,3546,3545,63.0,600.4450084602369,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,13,3018,3016,63.0,600.1457919151757,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,14,3534,3532,63.0,600.0418788907754,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,15,2116,2115,63.0,600.1559546313799,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,15,1535,1534,63.0,600.3752442996743,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,16,3306,3305,63.0,600.3841500302481,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,17,3188,3184,63.0,600.1979297365119,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,18,3444,3442,63.0,600.0598141695702,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,19,3594,3593,63.0,600.1324429604897,0,0,0,0,0,0,1,0,0,0,0
2022-02-20,6,21,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-21,0,1,787,786,63.0,600.020330368488,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,8,4471,4469,63.0,608.8049653321405,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,9,3430,3429,63.0,607.5472303206997,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,12,4915,4628,63.0,597.8805696846389,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,14,6442,6438,63.0,606.3425954672462,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,15,7091,7088,63.0,607.1908052460866,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,16,2009,2008,63.0,606.6674962667994,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,16,4503,4499,63.0,605.9089495891628,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,17,4534,4533,63.0,600.94640494045,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,18,4653,4649,63.0,600.3200085966043,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,19,3204,3202,63.0,600.1819600499376,0,0,0,0,0,0,1,0,0,0,0
2022-02-21,0,20,4099,4097,63.0,600.329592583557,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,8,3568,3567,63.0,607.8635089686098,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,8,615,613,63.0,606.8747967479675,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,9,5638,5637,63.0,605.8543809861653,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,10,2046,2044,63.0,605.3597262952102,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,10,4021,4017,63.0,606.0964934095996,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,11,4652,4651,63.0,603.0070937231299,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,11,859,858,63.0,600.7462165308498,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,12,4488,4486,63.0,600.5407754010695,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,13,1758,1757,63.0,606.1040955631399,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,14,6035,6033,63.0,607.2038111019056,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,15,1158,1155,63.0,606.9430051813472,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,15,5208,5206,63.0,607.349846390169,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,17,4843,4841,63.0,601.9207103035309,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,18,2297,2294,63.0,600.2668698302133,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,20,1995,1994,63.0,600.2020050125313,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,20,1617,1616,63.0,600.3055040197897,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,21,2546,2545,63.0,600.0483110761979,0,0,0,0,0,0,1,0,0,0,0
2022-02-22,1,22,2201,2200,63.0,600.3743752839619,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,7,2070,2069,63.0,603.2227053140097,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,9,5035,5023,63.0,606.6087388282026,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,10,5745,5741,63.0,605.5021758050478,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,11,2750,2749,63.0,606.2458181818182,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,12,4345,4342,63.0,600.3058688147296,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,14,5911,5909,63.0,606.5911013364913,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,15,5931,5929,63.0,605.8047546788063,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,15,1,0,60.0,1468.0,0,0,1,0,0,0,0,0,0,0,0
2022-02-23,2,16,3425,3423,63.0,606.6312408759125,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,17,4780,4779,63.0,601.2341004184101,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,18,2047,2045,63.0,600.142647777235,0,0,0,0,0,0,1,0,0,0,0
2022-02-23,2,19,4283,4282,63.0,600.1772122344152,0,0,0,0,0,0,1,0,0,0,0
